Q1,Q2,Q3,Q4,Q5
-0.233873359,-0.380199953,0.090580367,0.173498504,-0.372045428
-0.245976315,-0.177863068,0.405613907,-0.565139771,-0.020091371
-0.885485367,-0.974349351,-0.620623369,-0.207898175,-0.87439878
-0.757621498,-1.181313468,-1.106649524,-0.378268405,-1.059781562
0,-1.055736393,-1.326230453,0,0
-1.078502996,-0.628179511,-0.704369945,-0.695603634,-0.426755664
1.865298479,0.225628353,1.541040554,1.429146613,-0.164933794
0.123640088,0.417531524,0.316649948,-0.003559309,0.345102665
-0.685374564,0.460711295,-0.239609512,-0.198908907,0.392580292
-1.011117175,-0.891296034,1.085280754,-0.645001669,-0.141623378
-2.044929141,-1.631691337,-1.846532017,-0.825161131,-1.223058237
-0.395318471,-1.80162187,-0.830452314,-1.178585431,-1.598319624
-1.835717763,-1.342921403,-1.521355622,-2.057923514,-1.541089332
-0.151658311,-1.27990997,-0.745016592,-0.579196709,-1.127786403
0.381915084,-0.654048162,-0.670400892,-0.212264745,-0.590105979
0,-0.550373932,-0.661703071,-0.246437425,-0.522799399
0,0,0,0,0
-1.407678992,-1.843731406,-1.755368794,-1.178572593,-1.286241056
-1.112035892,-0.21996208,-1.039663424,-0.253210826,-0.024099435
-0.867812124,-0.332656411,-0.722438939,-1.886424289,-1.841925925
-1.326032731,-1.321940088,-0.486731492,-2.034017553,-1.278341966
1.770661976,0.201655852,0.186578101,0.237407804,-0.197080638
-1.714604973,-0.614176527,-0.273347516,-0.123042691,-0.727924639
-1.290086045,-0.835515917,-1.05774511,-1.008303722,-1.340476567
-0.069179802,-0.056674509,-0.282029763,-0.151133889,-0.026867199
-1.287604465,-1.478759539,-0.688278089,-0.761365126,-1.003055214
0.232296839,-0.171092486,-1.136905789,-0.328427532,-0.319931057
-1.176562597,-0.18285385,-0.20252983,-0.2464459,-0.779686536
-0.548983826,-0.106378071,-1.357956788,-0.291542811,-0.552167639
-0.926715368,-1.092578991,-1.125618796,-0.759146746,-0.862874732
-1.245349983,-0.868158166,-0.60009581,-0.933217482,-1.123511617
-0.201496276,0.380466026,-1.581263497,-1.449791763,-1.248113474
0.768070561,0.73829566,1.248743759,2.470450542,1.758354646
-0.876925749,-0.929514998,-0.749480105,-0.343888034,-0.699460792
0.20653203,-0.823792325,-0.422175239,-0.394064534,-0.294775071
-0.377898544,0.027555123,0.414987932,-0.208250674,0.044206427
-1.164490387,-0.912492207,-0.881625379,-0.829764778,-0.914373501
-0.354180627,0.982965258,-0.255374293,1.25515933,-2.160089529
-0.256129555,1.296522147,-0.287690093,0.863929857,-1.8086349
-0.84510412,-0.560299827,-0.7577193,-0.527927672,-0.01301217
-0.619797316,0.005188617,-0.57813087,0.104612183,-0.182269998
0.642090336,0.671928936,-1.448992907,0.128153494,-0.249950143
-1.164131474,-1.167911026,-1.115993168,-0.905095353,-0.909672356
-0.491540009,0.253052474,0.110622939,0.230848146,-0.044457407
-0.623765636,-0.697695769,-1.572203998,-1.740659471,-0.802940935
-0.982049388,-0.866102463,-0.871292108,-0.684183253,-0.88275148
-0.613579299,-0.096889888,-0.542855431,0.576931806,0.21841877
-0.430191943,0.037044082,-0.118091249,0.393206848,-0.010964849
-1.203296388,-0.397506566,-0.429500493,-0.099542139,0.011673683
-0.429090598,-1.962620665,-2.0455528,-0.367922171,-0.145034942
-0.383685398,0.025137863,-0.781525069,0.714777698,0.296559557
-1.271596366,-0.891483145,0,-1.004168601,-1.041450791
-1.524572534,-0.920572466,-0.325856343,0.209271045,-0.088870793
-1.36908039,-1.43069943,-0.979296189,-0.82154272,-1.321317477
-0.694552931,-0.61868909,-0.214791844,-0.741702804,1.00995126
-1.126880582,-0.851649715,-0.600554116,-0.07511699,-0.10631059
-0.413701364,-0.526087837,-1.074932222,-0.451491028,-0.916023845
-1.879368331,-1.232266176,-0.741455554,-0.860214637,-0.356850249
-0.69235173,-0.319324325,0.11751541,-0.266403751,-0.45918979
-0.695033925,-0.6053457,-0.900405827,-0.457050817,-0.333796887
0.107788163,0.798608462,0.399322087,0.721596216,0.946524012
-0.273786422,-0.885548106,-0.512316905,-0.215599718,0.362327964
-0.35479295,0.225135781,-0.351512981,0.535941247,-0.66047889
-0.709036804,0.061339975,0.105688978,-0.257242598,-0.569540362
-0.350012087,-0.185209083,-0.159902624,0.21678258,0.17302336
-0.985192201,-0.485216207,-0.325177068,-0.117106196,-0.099039822
0.009885634,-0.162513391,-0.52903945,0.206036009,0.084530563
-0.745658643,-0.683650865,-0.448834517,-0.557580799,-0.366287848
-1.050390888,-0.888982447,-0.613487505,-0.451980806,-0.643096133
0.308169897,-0.453226313,0.640565386,0.249996449,-0.330247809
-3.200495824,-1.880952907,-2.195259,-1.784573418,-1.463327845
-0.169151067,-1.032691743,-1.093864389,-0.518258691,-0.921615111
-1.625268042,-1.797665751,-1.556649319,-1.42679208,-1.115138546
